sample;annotation
Ватутинки;[(1, 10, 'B-BRAND')]
Благовещенский молочный комбинат;[(1, 14, 'B-BRAND'), (15, 22, 'I-BRAND'), (23, 31, 'I-BRAND')]
Мясновъ ферма;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
ТМ ЗНАК КАЧЕСТВА;[(1, 2, 'B-BRAND'), (3, 6, 'I-BRAND'), (7, 15, 'I-BRAND')]
Кофе Кола;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
Фруттс;[(1, 7, 'B-BRAND')]
Целебник;[(1, 9, 'B-BRAND')]
Sback;[(1, 6, 'B-BRAND')]
Гриль мужская территория;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND'), (13, 23, 'I-BRAND')]
MEDOVARUS, МЕДОВАРУС;[(1, 10, 'B-BRAND'), (11, 20, 'I-BRAND')]
Лента,АО ОМПК;[(1, 8, 'B-BRAND'), (9, 13, 'I-BRAND')]
Жемчужина Поволжья;[(1, 9, 'B-BRAND'), (10, 18, 'I-BRAND')]
Трапеза;[(1, 8, 'B-BRAND')]
Праздник Сластёны!,ЗАО «Тандер»;[(1, 8, 'B-BRAND'), (9, 21, 'I-BRAND'), (22, 30, 'I-BRAND')]
Toblerone;[(1, 10, 'B-BRAND')]
Burger;[(1, 7, 'B-BRAND')]
Multi chips;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
nowaco;[(1, 7, 'B-BRAND')]
ООО Кубанская винная компания;[(1, 3, 'B-BRAND'), (4, 12, 'I-BRAND'), (13, 18, 'I-BRAND'), (19, 27, 'I-BRAND')]
Хладокомбинат;[(1, 14, 'B-BRAND')]
alpro;[(1, 6, 'B-BRAND')]
Краснореченское;[(1, 16, 'B-BRAND')]
Луговица;[(1, 9, 'B-BRAND')]
Конфитрейд;[(1, 11, 'B-BRAND')]
Azərsun;[(1, 8, 'B-BRAND')]
Teekanne;[(1, 9, 'B-BRAND')]
Полет;[(1, 6, 'B-BRAND')]
Мясная ферма;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
а хочурыб;[(1, 1, 'B-BRAND'), (2, 9, 'I-BRAND')]
ЮгПродТорг (динской);[(1, 10, 'B-BRAND'), (11, 20, 'I-BRAND')]
ООО Умный Ритейл;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND'), (9, 15, 'I-BRAND')]
Aptamil;[(1, 8, 'B-BRAND')]
Васькино счастье;[(1, 8, 'B-BRAND'), (9, 16, 'I-BRAND')]
кухмастер;[(1, 10, 'B-BRAND')]
РУСКАРТ;[(1, 8, 'B-BRAND')]
Хмр;[(1, 4, 'B-BRAND')]
Fl;[(1, 3, 'B-BRAND')]
Зелёный сад;[(1, 7, 'B-BRAND'), (8, 11, 'I-BRAND')]
Chikalab;[(1, 9, 'B-BRAND')]
РусМолоко;[(1, 10, 'B-BRAND')]
Аксей;[(1, 6, 'B-BRAND')]
Городецкий;[(1, 11, 'B-BRAND')]
Мономах;[(1, 8, 'B-BRAND')]
Bombar;[(1, 7, 'B-BRAND')]
Очаково;[(1, 8, 'B-BRAND')]
b&b;[(1, 4, 'B-BRAND')]
Красное Знамя;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
щелковоХлеб;[(1, 12, 'B-BRAND')]
Magic Grain;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
ПО «Окское»;[(1, 2, 'B-BRAND'), (3, 11, 'I-BRAND')]
Карт нуар;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
Хэйлис;[(1, 7, 'B-BRAND')]
Царское Подворье;[(1, 7, 'B-BRAND'), (8, 16, 'I-BRAND')]
Алексеевское, ЗАО Алексеевский молочноконсервный комбинат;[(1, 13, 'B-BRAND'), (14, 16, 'I-BRAND'), (17, 28, 'I-BRAND'), (29, 45, 'I-BRAND'), (46, 54, 'I-BRAND')]
Велком;[(1, 7, 'B-BRAND')]
Exponenta;[(1, 10, 'B-BRAND')]
Golden life;[(1, 6, 'B-BRAND'), (7, 11, 'I-BRAND')]
Пора Есть;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
Живая Еда;[(1, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
Tako Samurai;[(1, 4, 'B-BRAND'), (5, 12, 'I-BRAND')]
Столбушино;[(1, 11, 'B-BRAND')]
Deland;[(1, 7, 'B-BRAND')]
Озби;[(1, 5, 'B-BRAND')]
ООО Витолинка;[(1, 3, 'B-BRAND'), (4, 13, 'I-BRAND')]
Россия - щедрая душа;[(1, 6, 'B-BRAND'), (7, 7, 'I-BRAND'), (8, 13, 'I-BRAND'), (14, 18, 'I-BRAND')]
Волжский посад;[(1, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
Lubmax;[(1, 7, 'B-BRAND')]
Молочный Знак;[(1, 8, 'B-BRAND'), (9, 13, 'I-BRAND')]
Natty’s;[(1, 8, 'B-BRAND')]
Фрош;[(1, 5, 'B-BRAND')]
Хенкель;[(1, 8, 'B-BRAND')]
Курильский Берег;[(1, 10, 'B-BRAND'), (11, 16, 'I-BRAND')]
Ложкарёв;[(1, 9, 'B-BRAND')]
Parmalat, Santal;[(1, 9, 'B-BRAND'), (10, 16, 'I-BRAND')]
Атлантика;[(1, 10, 'B-BRAND')]
ВкусВилл,te Gusto;[(1, 11, 'B-BRAND'), (12, 17, 'I-BRAND')]
Главпродукт;[(1, 12, 'B-BRAND')]
Домашние шедевры;[(1, 8, 'B-BRAND'), (9, 16, 'I-BRAND')]
Hamé;[(1, 5, 'B-BRAND')]
Златожар,Донмаслопродукт;[(1, 25, 'B-BRAND')]
Морячок;[(1, 8, 'B-BRAND')]
Секрет здоровья;[(1, 6, 'B-BRAND'), (7, 15, 'I-BRAND')]
Белогорье;[(1, 10, 'B-BRAND')]
Балаковский кондитер;[(1, 11, 'B-BRAND'), (12, 20, 'I-BRAND')]
ЗАО исток;[(1, 3, 'B-BRAND'), (4, 9, 'I-BRAND')]
Magic mess;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Вельта пезна;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
ALPENLAND;[(1, 10, 'B-BRAND')]
Dolce Alber;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Richard;[(1, 8, 'B-BRAND')]
хозяйство васильевой;[(1, 9, 'B-BRAND'), (10, 20, 'I-BRAND')]
Mastet Gurme;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
alba;[(1, 5, 'B-BRAND')]
Ирбитский;[(1, 10, 'B-BRAND')]
Сарафаново;[(1, 11, 'B-BRAND')]
Auchan;[(1, 7, 'B-BRAND')]
Яндекс лавка;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Mars;[(1, 5, 'B-BRAND')]
Егорьевская;[(1, 12, 'B-BRAND')]
Ресторация Обломов;[(1, 10, 'B-BRAND'), (11, 18, 'I-BRAND')]
Нытвенская;[(1, 11, 'B-BRAND')]
GrandBlu;[(1, 9, 'B-BRAND')]
Российский;[(1, 11, 'B-BRAND')]
Pergalė;[(1, 8, 'B-BRAND')]
Северодвинский Хлебокомбинат;[(1, 14, 'B-BRAND'), (15, 28, 'I-BRAND')]
Вкусная мелодия;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
Брест-Литовск сливочный;[(1, 13, 'B-BRAND'), (14, 23, 'I-BRAND')]
Laimon fresh;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Макиз;[(1, 6, 'B-BRAND')]
Егорьевская ФКГ;[(1, 11, 'B-BRAND'), (12, 15, 'I-BRAND')]
Nowaco;[(1, 7, 'B-BRAND')]
Дмитрогорский молочный завод;[(1, 13, 'B-BRAND'), (14, 21, 'I-BRAND'), (22, 27, 'I-BRAND')]
Кас-Кад Плюс;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Славянские кружева;[(1, 10, 'B-BRAND'), (11, 18, 'I-BRAND')]
Healthy Innovation;[(1, 7, 'B-BRAND'), (8, 18, 'I-BRAND')]
Пепси;[(1, 6, 'B-BRAND')]
Рыбокомбинат Беломорье;[(1, 12, 'B-BRAND'), (13, 22, 'I-BRAND')]
Авида;[(1, 6, 'B-BRAND')]
San Pellegrino;[(1, 3, 'B-BRAND'), (4, 14, 'I-BRAND')]
ПервыйВкус;[(1, 11, 'B-BRAND')]
Погарская фабрика;[(1, 9, 'B-BRAND'), (10, 17, 'I-BRAND')]
Mio & Rio;[(1, 3, 'B-BRAND'), (4, 4, 'I-BRAND'), (5, 8, 'I-BRAND')]
CorinCorn;[(1, 10, 'B-BRAND')]
Шоколадный кот;[(1, 10, 'B-BRAND'), (11, 14, 'I-BRAND')]
Рестоль;[(1, 8, 'B-BRAND')]
Хлебодар;[(1, 9, 'B-BRAND')]
Snack 4 Uou;[(1, 5, 'B-BRAND'), (6, 6, 'I-BRAND'), (7, 10, 'I-BRAND')]
Plán B;[(1, 4, 'B-BRAND'), (5, 6, 'I-BRAND')]
Золотой век;[(1, 7, 'B-BRAND'), (8, 11, 'I-BRAND')]
Носики;[(1, 7, 'B-BRAND')]
Вологодские молочные продукты;[(1, 11, 'B-BRAND'), (12, 19, 'I-BRAND'), (20, 28, 'I-BRAND')]
русское море;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
мясо love;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
ООО Югопторг-23;[(1, 3, 'B-BRAND'), (4, 15, 'I-BRAND')]
Dārza sidrs;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Вятушка;[(1, 8, 'B-BRAND')]
Стародворье;[(1, 12, 'B-BRAND')]
Вологодское;[(1, 12, 'B-BRAND')]
BOSO;[(1, 5, 'B-BRAND')]
закон бутерброда;[(1, 5, 'B-BRAND'), (6, 16, 'I-BRAND')]
Мое любимое лето;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND'), (11, 15, 'I-BRAND')]
32132143;[(1, 9, 'B-BRAND')]
Селяньске;[(1, 10, 'B-BRAND')]
Подворье,Благо;[(1, 15, 'B-BRAND')]
Garage;[(1, 7, 'B-BRAND')]
Карусели сладкий сказ;[(1, 8, 'B-BRAND'), (9, 15, 'I-BRAND'), (16, 20, 'I-BRAND')]
www.primekraft.ru;[(1, 18, 'B-BRAND')]
ключевая;[(1, 9, 'B-BRAND')]
вязанка;[(1, 8, 'B-BRAND')]
Казачьи разносолы;[(1, 7, 'B-BRAND'), (8, 17, 'I-BRAND')]
Sloboda;[(1, 8, 'B-BRAND')]
XRember;[(1, 8, 'B-BRAND')]
Росагрокомплекс;[(1, 16, 'B-BRAND')]
Cratos;[(1, 7, 'B-BRAND')]
62201 429959;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
ООО Марс;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
Laplandia;[(1, 10, 'B-BRAND')]
Белая дача;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Вашингтон;[(1, 10, 'B-BRAND')]
Mondelez;[(1, 9, 'B-BRAND')]
Коровка из корёновки;[(1, 7, 'B-BRAND'), (8, 9, 'I-BRAND'), (10, 19, 'I-BRAND')]
Wonderpokki;[(1, 12, 'B-BRAND')]
Простоквашино;[(1, 14, 'B-BRAND')]
ООО Услада;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND')]
Компания Сирена;[(1, 8, 'B-BRAND'), (9, 15, 'I-BRAND')]
MacChocolate;[(1, 13, 'B-BRAND')]
Бон Меню;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
Балтийский берег;[(1, 10, 'B-BRAND'), (11, 16, 'I-BRAND')]
Dove Promises;[(1, 4, 'B-BRAND'), (5, 13, 'I-BRAND')]
Зерница;[(1, 8, 'B-BRAND')]
МИЛТИ;[(1, 6, 'B-BRAND')]
Алексеевская;[(1, 13, 'B-BRAND')]
Rukko;[(1, 6, 'B-BRAND')]
Savoursmiths;[(1, 13, 'B-BRAND')]
Верность качеству;[(1, 8, 'B-BRAND'), (9, 17, 'I-BRAND')]
Plantago, Плантаго, Эль-групп;[(1, 9, 'B-BRAND'), (10, 18, 'I-BRAND'), (19, 28, 'I-BRAND')]
33 коровы;[(1, 2, 'B-BRAND'), (3, 9, 'I-BRAND')]
Разумный выбор;[(1, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
AHMAD TEA;[(1, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
Дары Памира;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
Shock fitness;[(1, 5, 'B-BRAND'), (6, 13, 'I-BRAND')]
Хлебцы-Молодцы;[(1, 15, 'B-BRAND')]
ТНС энерго;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND')]
Egoiste;[(1, 8, 'B-BRAND')]
Callebaut;[(1, 10, 'B-BRAND')]
рестория;[(1, 9, 'B-BRAND')]
Рпр;[(1, 4, 'B-BRAND')]
Империя Вкуса;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
nemoloko;[(1, 9, 'B-BRAND')]
lidl;[(1, 5, 'B-BRAND')]
Вкусвилл;[(1, 9, 'B-BRAND')]
Мистер Лис;[(1, 6, 'B-BRAND'), (7, 10, 'I-BRAND')]
ООО Мон'дэлис Русь;[(1, 3, 'B-BRAND'), (4, 12, 'I-BRAND'), (13, 17, 'I-BRAND')]
ООО НПО «СЛАВИЧЪ»;[(1, 3, 'B-BRAND'), (4, 6, 'I-BRAND'), (7, 16, 'I-BRAND')]
Ricco;[(1, 6, 'B-BRAND')]
ООО «ТК ЗАРД»;[(1, 3, 'B-BRAND'), (4, 6, 'I-BRAND'), (7, 12, 'I-BRAND')]
Hortex;[(1, 7, 'B-BRAND')]
DOLCE ALBERO;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Nature’s Element;[(1, 8, 'B-BRAND'), (9, 16, 'I-BRAND')]
Артек;[(1, 6, 'B-BRAND')]
Orbit;[(1, 6, 'B-BRAND')]
Вологодский пломбир;[(1, 11, 'B-BRAND'), (12, 19, 'I-BRAND')]
Фарм Про;[(1, 4, 'B-BRAND'), (5, 8, 'I-BRAND')]
Franzeluţa;[(1, 11, 'B-BRAND')]
ООО СЛАДКИЙ ОРЕШЕК;[(1, 3, 'B-BRAND'), (4, 10, 'I-BRAND'), (11, 17, 'I-BRAND')]
Zottman;[(1, 8, 'B-BRAND')]
Market Collection;[(1, 6, 'B-BRAND'), (7, 17, 'I-BRAND')]
Сибирский стандарт;[(1, 9, 'B-BRAND'), (10, 18, 'I-BRAND')]
Taste -time;[(1, 5, 'B-BRAND'), (6, 11, 'I-BRAND')]
Сладкая страна;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Laritele;[(1, 9, 'B-BRAND')]
Мартин;[(1, 7, 'B-BRAND')]
Вкус лимона;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
FarmMilk;[(1, 9, 'B-BRAND')]
Боровково;[(1, 10, 'B-BRAND')]
GreenVill, NutVill;[(1, 10, 'B-BRAND'), (11, 18, 'I-BRAND')]
РИАТ (ООО СВЕЖИЙ ХЛЕБ);[(1, 4, 'B-BRAND'), (5, 8, 'I-BRAND'), (9, 14, 'I-BRAND'), (15, 20, 'I-BRAND')]
Kultlab Diet;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
22 хлебозавод;[(1, 2, 'B-BRAND'), (3, 13, 'I-BRAND')]
Пискарёвский молокозавод;[(1, 12, 'B-BRAND'), (13, 24, 'I-BRAND')]
КАРАТ;[(1, 6, 'B-BRAND')]
coca cola;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
Кондитер трейдинг;[(1, 8, 'B-BRAND'), (9, 17, 'I-BRAND')]
Mr.Craft;[(1, 9, 'B-BRAND')]
Pássim;[(1, 7, 'B-BRAND')]
ООО Бизнесойл;[(1, 3, 'B-BRAND'), (4, 13, 'I-BRAND')]
Movenpick;[(1, 10, 'B-BRAND')]
ИП Маркеев А.В.;[(1, 2, 'B-BRAND'), (3, 9, 'I-BRAND'), (10, 14, 'I-BRAND')]
Зима и лето;[(1, 4, 'B-BRAND'), (5, 5, 'I-BRAND'), (6, 10, 'I-BRAND')]
С нашей фермы;[(1, 1, 'B-BRAND'), (2, 6, 'I-BRAND'), (7, 12, 'I-BRAND')]
Ortiga;[(1, 7, 'B-BRAND')]
νωμα;[(1, 5, 'B-BRAND')]
Доктор МОМ;[(1, 6, 'B-BRAND'), (7, 10, 'I-BRAND')]
Первым делом,Дикси;[(1, 6, 'B-BRAND'), (7, 18, 'I-BRAND')]
Простоквашино,Данон Россия;[(1, 19, 'B-BRAND'), (20, 26, 'I-BRAND')]
Барбарис,Рот Фронт;[(1, 12, 'B-BRAND'), (13, 18, 'I-BRAND')]
Лимак;[(1, 6, 'B-BRAND')]
Тоза;[(1, 5, 'B-BRAND')]
маркет;[(1, 7, 'B-BRAND')]
Семейные секреты;[(1, 8, 'B-BRAND'), (9, 16, 'I-BRAND')]
Berlingo;[(1, 9, 'B-BRAND')]
Танай;[(1, 6, 'B-BRAND')]
12 месяцев;[(1, 2, 'B-BRAND'), (3, 10, 'I-BRAND')]
ОАО Брянский гормолзавод;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND'), (12, 23, 'I-BRAND')]
Мд Бородина;[(1, 2, 'B-BRAND'), (3, 11, 'I-BRAND')]
Power Torr;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
kött;[(1, 5, 'B-BRAND')]
Воздушный;[(1, 10, 'B-BRAND')]
Миладора;[(1, 9, 'B-BRAND')]
Молочные угодья;[(1, 8, 'B-BRAND'), (9, 15, 'I-BRAND')]
Вишнёвый сад;[(1, 8, 'B-BRAND'), (9, 12, 'I-BRAND')]
Берестейский пекарь;[(1, 12, 'B-BRAND'), (13, 19, 'I-BRAND')]
Круазетт;[(1, 9, 'B-BRAND')]
сантабремор;[(1, 12, 'B-BRAND')]
СП Мирный;[(1, 2, 'B-BRAND'), (3, 9, 'I-BRAND')]
С пылу с жару;[(1, 1, 'B-BRAND'), (2, 5, 'I-BRAND'), (6, 6, 'I-BRAND'), (7, 11, 'I-BRAND')]
Реади 2 еат;[(1, 5, 'B-BRAND'), (6, 6, 'I-BRAND'), (7, 10, 'I-BRAND')]
Фабрика имени Крупской;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND'), (13, 21, 'I-BRAND')]
Viola,Valio;[(1, 12, 'B-BRAND')]
Три Корочки;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND')]
Pringles Alexa;[(1, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
Белая бяроза;[(1, 5, 'B-BRAND'), (6, 12, 'I-BRAND')]
Хлебцы молодцы;[(1, 6, 'B-BRAND'), (7, 14, 'I-BRAND')]
CREME LE MARE;[(1, 5, 'B-BRAND'), (6, 7, 'I-BRAND'), (8, 12, 'I-BRAND')]
Симфония вкуса;[(1, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
Viante Vittoria;[(1, 6, 'B-BRAND'), (7, 15, 'I-BRAND')]
Julius Meinl;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
Пятёрочка;[(1, 10, 'B-BRAND')]
Solaray;[(1, 8, 'B-BRAND')]
90;[(1, 3, 'B-BRAND')]
Мясновъ;[(1, 8, 'B-BRAND')]
Пять плюсов;[(1, 4, 'B-BRAND'), (5, 11, 'I-BRAND')]
Магнит;[(1, 7, 'B-BRAND')]
Ратимир;[(1, 8, 'B-BRAND')]
Стм ярче.;[(1, 3, 'B-BRAND'), (4, 9, 'I-BRAND')]
АктиБио;[(1, 8, 'B-BRAND')]
АО Дека;[(1, 2, 'B-BRAND'), (3, 7, 'I-BRAND')]
Сладонеж;[(1, 9, 'B-BRAND')]
Биостория;[(1, 10, 'B-BRAND')]
Toure;[(1, 6, 'B-BRAND')]
Камелия;[(1, 8, 'B-BRAND')]
Mix bar;[(1, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
Капитан Вкусов;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
ЭФКО;[(1, 5, 'B-BRAND')]
be first;[(1, 2, 'B-BRAND'), (3, 8, 'I-BRAND')]
KROMFISH;[(1, 9, 'B-BRAND')]
Простоквашинр;[(1, 14, 'B-BRAND')]
Милк;[(1, 5, 'B-BRAND')]
Ломоть;[(1, 7, 'B-BRAND')]
Славянский терем;[(1, 10, 'B-BRAND'), (11, 16, 'I-BRAND')]
Guandy;[(1, 7, 'B-BRAND')]
Румяново;[(1, 9, 'B-BRAND')]
Хамовники;[(1, 10, 'B-BRAND')]
TESS;[(1, 5, 'B-BRAND')]
Здоровка;[(1, 9, 'B-BRAND')]
Бурёнкин луг;[(1, 8, 'B-BRAND'), (9, 12, 'I-BRAND')]
Перспектива;[(1, 12, 'B-BRAND')]
настоящее Алтайское;[(1, 9, 'B-BRAND'), (10, 19, 'I-BRAND')]
Новая деревня;[(1, 5, 'B-BRAND'), (6, 13, 'I-BRAND')]
ВК;[(1, 3, 'B-BRAND')]
Mr.Djemius Zero;[(1, 10, 'B-BRAND'), (11, 15, 'I-BRAND')]
Стебель бамбука;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
Большевик, Юбилейное;[(1, 10, 'B-BRAND'), (11, 20, 'I-BRAND')]
у-палыча;[(1, 9, 'B-BRAND')]
Леовит;[(1, 7, 'B-BRAND')]
Sveza;[(1, 6, 'B-BRAND')]
Astoria;[(1, 8, 'B-BRAND')]
Савушкин,101 зерно;[(1, 12, 'B-BRAND'), (13, 18, 'I-BRAND')]
Волшебное дерево,Magic Tree;[(1, 9, 'B-BRAND'), (10, 21, 'I-BRAND'), (22, 26, 'I-BRAND')]
Helthy Innovation;[(1, 6, 'B-BRAND'), (7, 17, 'I-BRAND')]
Jemča;[(1, 6, 'B-BRAND')]
АО Продовольственная компания ЛИМАК, филиал Липецкий хлебокомбинат;[(1, 2, 'B-BRAND'), (3, 19, 'I-BRAND'), (20, 27, 'I-BRAND'), (28, 33, 'I-BRAND'), (34, 39, 'I-BRAND'), (40, 47, 'I-BRAND'), (48, 61, 'I-BRAND')]
Sin young food;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND'), (9, 13, 'I-BRAND')]
Домочай;[(1, 8, 'B-BRAND')]
svalya;[(1, 7, 'B-BRAND')]
Избёнка;[(1, 8, 'B-BRAND')]
Традиции Предков;[(1, 8, 'B-BRAND'), (9, 16, 'I-BRAND')]
белочка;[(1, 8, 'B-BRAND')]
CocaCola,Coca-Cola;[(1, 19, 'B-BRAND')]
Минское;[(1, 8, 'B-BRAND')]
Como;[(1, 5, 'B-BRAND')]
Delicato;[(1, 9, 'B-BRAND')]
Baroniff;[(1, 9, 'B-BRAND')]
Favorite;[(1, 9, 'B-BRAND')]
ООО Агропак;[(1, 3, 'B-BRAND'), (4, 11, 'I-BRAND')]
мама лама;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
Приволжское;[(1, 12, 'B-BRAND')]
Село Устьяны;[(1, 4, 'B-BRAND'), (5, 12, 'I-BRAND')]
Каспийская коллекция;[(1, 10, 'B-BRAND'), (11, 20, 'I-BRAND')]
KIRISBBEY;[(1, 10, 'B-BRAND')]
Грлспирон;[(1, 10, 'B-BRAND')]
Первый Семейный;[(1, 6, 'B-BRAND'), (7, 15, 'I-BRAND')]
Savoy;[(1, 6, 'B-BRAND')]
Томское молоко;[(1, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
Завод Им Пастухова;[(1, 5, 'B-BRAND'), (6, 7, 'I-BRAND'), (8, 17, 'I-BRAND')]
Smart formula;[(1, 5, 'B-BRAND'), (6, 13, 'I-BRAND')]
Агро-Альянс;[(1, 12, 'B-BRAND')]
LuckyDays;[(1, 10, 'B-BRAND')]
Appetito;[(1, 9, 'B-BRAND')]
Maitre;[(1, 7, 'B-BRAND')]
Fit Feel;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
Eco botanika;[(1, 3, 'B-BRAND'), (4, 12, 'I-BRAND')]
jarmark;[(1, 8, 'B-BRAND')]
Добрый совет;[(1, 6, 'B-BRAND'), (7, 12, 'I-BRAND')]
фруто няня;[(1, 5, 'B-BRAND'), (6, 10, 'I-BRAND')]
Fazer,Бурже;[(1, 12, 'B-BRAND')]
Мистер Джемиус;[(1, 6, 'B-BRAND'), (7, 14, 'I-BRAND')]
мишн фуд ступино;[(1, 4, 'B-BRAND'), (5, 7, 'I-BRAND'), (8, 15, 'I-BRAND')]
Каждый день,МосМедыньагропром;[(1, 6, 'B-BRAND'), (7, 29, 'I-BRAND')]
фрутмотив;[(1, 10, 'B-BRAND')]
Казахстан халал.;[(1, 9, 'B-BRAND'), (10, 16, 'I-BRAND')]
ДаЁжь!;[(1, 7, 'B-BRAND')]
Alpenhain;[(1, 10, 'B-BRAND')]
Plan B;[(1, 4, 'B-BRAND'), (5, 6, 'I-BRAND')]
Raw life;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
АО Кузбасская птицефабрика (Моя цена);[(1, 2, 'B-BRAND'), (3, 12, 'I-BRAND'), (13, 24, 'I-BRAND'), (25, 28, 'I-BRAND'), (29, 34, 'I-BRAND')]
Break;[(1, 6, 'B-BRAND')]
красный-октябрь;[(1, 16, 'B-BRAND')]
Шишкин Лес,Cone Forest;[(1, 6, 'B-BRAND'), (7, 14, 'I-BRAND'), (15, 21, 'I-BRAND')]
Свежов;[(1, 7, 'B-BRAND')]
ОАО «Серпуховхлеб»;[(1, 3, 'B-BRAND'), (4, 18, 'I-BRAND')]
Мясной дом Ивановых;[(1, 6, 'B-BRAND'), (7, 9, 'I-BRAND'), (10, 18, 'I-BRAND')]
Барская кухня;[(1, 7, 'B-BRAND'), (8, 13, 'I-BRAND')]
Nesquik,Société des Produits Nestlé S.A.;[(1, 15, 'B-BRAND'), (16, 18, 'I-BRAND'), (19, 26, 'I-BRAND'), (27, 32, 'I-BRAND'), (33, 37, 'I-BRAND')]
Lipton;[(1, 7, 'B-BRAND')]
Мировой закусон;[(1, 7, 'B-BRAND'), (8, 15, 'I-BRAND')]
panzer;[(1, 7, 'B-BRAND')]
Bounty;[(1, 7, 'B-BRAND')]
Романов Луг;[(1, 7, 'B-BRAND'), (8, 11, 'I-BRAND')]
ИП Евстратова А.И.;[(1, 2, 'B-BRAND'), (3, 12, 'I-BRAND'), (13, 17, 'I-BRAND')]
Большой Папа;[(1, 7, 'B-BRAND'), (8, 12, 'I-BRAND')]
Vivo;[(1, 5, 'B-BRAND')]
фабрика Уральские пельмени;[(1, 7, 'B-BRAND'), (8, 16, 'I-BRAND'), (17, 25, 'I-BRAND')]
Вкус Рожства;[(1, 4, 'B-BRAND'), (5, 12, 'I-BRAND')]
Brokker;[(1, 8, 'B-BRAND')]
Грин Рэй;[(1, 4, 'B-BRAND'), (5, 8, 'I-BRAND')]
Улеймская питьевая;[(1, 9, 'B-BRAND'), (10, 18, 'I-BRAND')]
Акульчев;[(1, 9, 'B-BRAND')]
ГОСТ;[(1, 5, 'B-BRAND')]
ВкусВилл;[(1, 9, 'B-BRAND')]
Coca Cola;[(1, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
ЭТО Хорошо,ЭТО Хорошо!;[(1, 3, 'B-BRAND'), (4, 13, 'I-BRAND'), (14, 21, 'I-BRAND')]
отлично;[(1, 8, 'B-BRAND')]
HEINZ;[(1, 6, 'B-BRAND')]
Фрутмотив;[(1, 10, 'B-BRAND')]
ООО Пинс;[(1, 3, 'B-BRAND'), (4, 8, 'I-BRAND')]
